date,lastSyncTime,steps,distance,runDistance,calories
2017-09-22,1506117552,18863,13057,225,410
2017-09-23,1506271626,4769,3362,447,123
2017-09-24,1506322381,3292,2215,246,79
2017-09-25,1506436867,6755,4739,569,168
2017-09-26,1506489696,4751,3268,441,116
2017-09-27,1506546564,6485,4477,351,154
2017-09-28,1506768401,5488,3786,366,134
2017-09-29,1506768391,4635,3137,347,102
2017-09-30,1506960356,10977,7458,713,248
2017-10-01,1506960359,6681,4907,213,176
2017-10-02,1507037643,8778,6223,565,216
2017-10-03,1507064690,6915,4748,417,168
2017-10-04,1507182485,5033,3456,319,122
2017-10-05,1507254455,5054,3363,395,117
2017-10-06,1507377324,6362,4298,416,148
2017-10-07,1507494913,9091,6253,460,209
2017-10-08,1507838969,14455,10718,232,350
2017-10-09,1507838968,3367,2361,319,95
2017-10-10,1507838966,6486,4705,417,166
2017-10-11,1507838967,7563,5472,418,200
2017-10-12,1507969717,4392,2999,237,108
2017-10-13,1507969718,5042,3556,386,127
2017-10-14,1508017244,13621,9828,686,340
2017-10-15,1508120238,4616,3465,158,127
2017-10-16,1508497006,7231,4966,548,167
2017-10-17,1508497007,5318,3703,497,138
2017-10-18,1508497005,8963,6247,630,217
2017-10-19,1508497008,15129,10961,638,388
2017-10-20,1508657863,4420,3221,177,116
2017-10-21,1508657856,3414,2293,318,84
2017-10-22,1508880689,15392,11631,527,417
2017-10-23,1508880687,10098,6926,719,232
2017-10-24,1508880689,6357,4302,460,153
2017-10-25,1508997472,6131,4105,518,143
2017-10-26,1509101614,9406,6409,545,217
2017-10-27,1509300548,7649,5282,745,189
2017-10-28,1509300549,2809,1940,266,71
2017-10-29,1509312371,469,303,26,14
2017-10-30,1509602277,8055,5862,739,213
2017-10-31,1509602273,8290,6033,448,220
2017-11-01,1509602277,7222,5229,240,193
2017-11-02,1509768958,3469,2490,205,88
2017-11-03,1509768957,5054,3493,329,122
2017-11-04,1510034370,12440,8736,520,298
2017-11-05,1510034369,542,350,66,16
2017-11-06,1510034369,5090,3815,179,139
2017-11-07,1510423829,3102,2187,175,81
2017-11-08,1510423829,4217,2911,277,104
2017-11-09,1510423828,8765,5924,666,196
2017-11-10,1510423829,8531,6021,458,206
2017-11-11,1510446464,5692,3756,495,130
2017-11-12,1510677882,324,209,82,10
2017-11-13,1510677886,4251,2936,482,105
2017-11-14,1510723970,11415,8582,430,302
2017-11-15,1510868369,3822,2722,242,104
2017-11-16,1510868368,2727,1955,112,76
2017-11-17,1510980931,8457,6228,1093,233
2017-11-18,1511285553,9790,6854,656,242
2017-11-19,1511285552,2394,1781,135,67
2017-11-20,1511285552,4075,2889,219,108
2017-11-21,1511416098,11289,7731,537,254
2017-11-22,1511416098,13383,10198,283,369
2017-11-23,1511560453,6632,4709,301,169
2017-11-24,1511560453,4536,3253,365,119
2017-11-25,1511761838,4204,2838,387,101
2017-11-26,1511761849,9053,6930,208,259
2017-11-27,1511818216,9377,6616,1113,240
2017-11-28,1512053649,7817,5256,632,180
2017-11-29,1512053647,5089,3438,389,126
2017-11-30,1512158428,3702,2593,202,95
2017-12-01,1512294121,8291,5506,537,191
2017-12-02,1512294121,5275,3563,423,122
2017-12-03,1512493237,658,425,72,17
2017-12-04,1512493237,5648,4030,410,146
2017-12-05,1512733036,3628,2565,356,95
2017-12-06,1512733036,4327,2898,514,105
2017-12-07,1512733036,4870,3331,374,122
2017-12-08,1513102136,12568,8771,645,283
2017-12-09,1513102129,4162,2744,326,93
2017-12-10,1513102128,2430,1709,156,61
2017-12-11,1513102138,4813,3463,243,123
2017-12-12,1513173597,13753,10121,436,350
2017-12-13,1513249999,3183,2245,193,78
2017-12-14,1513287119,4000,2813,285,103
2017-12-15,1513412441,10766,7991,167,277
2017-12-16,1513484285,10511,7735,140,256
2017-12-17,1513583890,1901,1401,112,53
2017-12-18,1514123576,6269,4478,99,152
2017-12-19,1514123577,646,418,71,21
2017-12-20,1514123575,2541,1836,162,68
2017-12-21,1514123576,562,363,114,18
2017-12-22,1514123575,10005,7549,381,270
2017-12-23,1514123573,2837,1868,248,69
2017-12-24,1514277419,25469,19348,285,672
2017-12-25,1514277419,307,198,64,11
2017-12-26,1514591146,2164,1495,119,53
2017-12-27,1514591148,10611,8215,181,289
2017-12-28,1514591147,430,278,89,15
2017-12-29,1514591147,1963,1475,99,54
2017-12-30,1514765329,8411,6359,168,233
2017-12-31,1514765342,2632,1893,127,72
2018-01-01,1514861016,690,446,88,22
2018-01-02,1514933849,4145,3187,273,125
2018-01-03,1515062959,1759,1137,234,48
2018-01-04,1515304658,10697,7222,439,247
